issue_id,category,severity,title,affected_files,audit_file,section,dependencies,root_cause,business_impact,technical_impact,risk_of_fix,estimated_effort,regression_risk,testing_required,rollback_required,status,phase
ISS-011,Database/Technical-Debt,Medium,"Migration 009 is missing from the sequence (gap between 008 and 010)","supabase/migrations/ (008_phase1_lead_scoring.sql, 010_phase5_proposal_intelligence.sql)","DATABASE_AUDIT.md; PROJECT_DISCOVERY.md; migrations.csv","Repository structure; Migration inventory","None","Unknown - either a migration was never committed, was deleted, or the number was intentionally skipped","Confusing for any new developer reconstructing schema history; may indicate lost work","Migration history is not self-describing/complete","Low - investigation only, no code risk","Small (investigation) + unknown if a real migration must be reconstructed","Low","Check git log/history for any reference to a 009 migration; check live DB migration tracking table if Supabase migration history is used","N/A - documentation/investigation task","Ready","Phase 0"
ISS-012,Database/Technical-Debt,Low,"leads_needing_followup view is defined three separate times across migration history","supabase/migrations/002_phase2_whatsapp.sql (line 90); 005_stability_patch.sql (line 253); 006_final_verification.sql (line 209)","DATABASE_AUDIT.md","Views created","None","Iterative patching without removing earlier definitions from migration history","None currently (006 version wins, is correct) - purely a maintainability/clarity issue for future migration authors","Migration history is misleading about the 'true' current definition without reading all three","Low","Small","Low","Confirm live view matches the 006 definition before/after any cleanup","N/A","Deferred","Phase 3 (optional cleanup)"
ISS-013,Technical-Debt/Repository-Hygiene,Low,"Duplicate 007_missing_tables.sql exists outside supabase/migrations/","bookmyspaces/007_missing_tables.sql (byte-identical to supabase/migrations/007_missing_tables.sql)","DATABASE_AUDIT.md; PROJECT_DISCOVERY.md","Repository structure","None","Leftover from past troubleshooting","None functionally (migration tooling only reads supabase/migrations/)","Repo clutter, risk of someone editing the wrong copy","Low","Small","Low","Confirm the two files are still identical, then remove the stray copy; confirm build/migrations still work","N/A - deleting a duplicate file","Ready","Phase 4"
ISS-014,Configuration/Data,Low,"Hardcoded personal/business phone number baked directly into migration seed data","supabase/migrations/004_phase4_campaigns.sql (line 157); 005_stability_patch.sql (line 323); 006_final_verification.sql (line 252)","DATABASE_AUDIT.md","Tables created (notification_settings)","None","Convenience during initial setup, never moved to a config UI or env var","Changing the daily-summary recipient number requires a new migration or manual DB edit instead of a settings-page update","Config value embedded in schema history instead of runtime-configurable data","Low","Small","Low","Confirm notification_settings row can be safely updated via the settings UI/API without a migration","N/A","Deferred","Phase 5 (optional)"
ISS-015,Dead-Code/Integrations-WhatsApp,High,"Entire secondary WhatsApp subsystem (6 files, ~1020 LOC) has zero importers - fully dead code","src/lib/whatsapp/auto-responder.ts; src/lib/whatsapp/conversation-manager.ts; src/lib/whatsapp/detect-source.ts; src/lib/whatsapp/lead-resolver.ts; src/lib/whatsapp/send-message.ts; src/services/whatsapp/process-inbound.ts","LIBRARY_INVENTORY.md; PROJECT_DISCOVERY.md","src/lib/whatsapp/*.ts - VERIFIED ORPHANED SUBSYSTEM; src/services/whatsapp/process-inbound.ts","None","A more sophisticated conversation state-machine was built to replace the simple keyword-matching auto-reply, but was never wired into the live webhook route, and targets tables (whatsapp_messages, whatsapp_conversations) that were never migrated","None currently (dead code doesn't run) - but represents significant unrealized engineering investment, and is a trap for future maintainers who might import it assuming it works","Confusing architecture; two competing WhatsApp implementations; whichever is kept must absorb the other's logic","Decision-dependent: Low if deleted, Medium-Large if finished and wired in (needs new migration for its target tables)","Small (delete) or Large (finish)","Low (delete) or Medium (finish)","If finished: full WhatsApp conversation flow test; if deleted: confirm no accidental imports remain and app still builds","YES either direction","Blocked","Phase 5 (scoping decision required)"
ISS-016,Dead-Code/Business-Logic,High,"src/lib/ai-summary.ts is fully implemented but unreachable - its API route is a stub","src/lib/ai-summary.ts (168 lines); src/app/api/ai-summary/route.ts (18-line stub)","LIBRARY_INVENTORY.md; ROUTES.md","src/lib/*.ts inventory (ai-summary.ts row)","None","Route was scaffolded but never finished/wired to the library","Daily AI summary, WhatsApp delivery of it, and automatic VIP-lead flagging never run - a documented feature simply does not happen","Dead code sitting one function call away from working","Low - the hard part (the logic) is already written and typed","Small","Low","Trigger route manually after wiring, confirm ai_summaries row is written and WhatsApp send is attempted","YES - single route file","Ready","Phase 5"
ISS-017,Dead-Code/Business-Logic,High,"src/modules/automation/escalation-engine.ts has zero importers anywhere in the codebase","src/modules/automation/escalation-engine.ts (121 lines)","MODULE_INVENTORY.md","Reachability","None","Written but never wired into any route or scheduled job","Automated escalation of stalled/high-value leads to human staff does not happen despite the logic existing","Dead business-critical automation","Medium - need to decide where it should be invoked from (a route, a cron job, or inline in lead-update paths)","Medium","Medium","Once wired: trigger conditions that should escalate a lead, confirm escalation record is created and any notification fires","YES","Ready","Phase 5"
ISS-018,Dead-Code/Business-Logic,High,"src/modules/followups/followup-engine.ts and followup-rules.ts have zero importers anywhere","src/modules/followups/followup-engine.ts (14 lines); src/modules/followups/followup-rules.ts (108 lines)","MODULE_INVENTORY.md","Reachability","None","Cadence rules and message-building logic written but never invoked; the live /api/followups and /api/cron/followups routes do not import them (per routes.csv, cron/followups touches follow_ups/leads tables directly without these modules)","Follow-up cadence (how often and what to say per lead temperature) is not actually driving the automated follow-up system as designed","Dead business-critical automation, parallel/competing logic may already exist inline in the cron route","Medium - must reconcile with whatever logic currently drives src/app/api/cron/followups/route.ts before wiring this in, to avoid two competing cadence systems","Medium","Medium","Compare current cron behavior vs. this module's intended behavior before switching; regression test on follow-up scheduling after the switch","YES","Blocked","Phase 5 (reconciliation with cron/followups needed first)"
ISS-019,Dead-Code/Business-Logic,High,"src/modules/leads/lead-stage-manager.ts is reachable only through a dead, misnamed route file","src/modules/leads/lead-stage-manager.ts (202 lines); src/app/api/leads/[id]/stage/lead-stage-route.ts (53 lines, misnamed)","MODULE_INVENTORY.md; ROUTES.md","Reachability; misnamed route files","ISS-020 (fix the filename first)","File should be named route.ts but isn't - simple oversight","Lead pipeline stage transitions (the state machine that should prevent invalid stage jumps) have no live HTTP entry point; whatever UI drives stage changes today is either using a different unvalidated path or stage changes aren't persisted with validation at all","Core CRM pipeline-integrity logic is completely bypassed","Low - rename the file, confirm route registers, confirm it's actually called from the frontend where stage changes happen","Small","Low-Medium","PATCH the route with a valid transition (expect 200 + DB update) and an invalid transition per VALID_TRANSITIONS (expect 400)","YES - rename is trivially reversible","Ready","Phase 4"
ISS-020,Dead-Code/API,High,"Two API route files are misnamed and therefore never registered as Next.js routes","src/app/api/leads/[id]/stage/lead-stage-route.ts; src/app/api/proposal/share/[token]/api--proposal--share--token--route.ts","ROUTES.md","Count verification","None","File should be named route.ts per Next.js App Router convention but isn't","lead-stage-route.ts: see ISS-019. proposal share route: currently harmless because the live share page bypasses it and queries Supabase directly client-side with the anon key - but that means the share flow has zero server-side gating","Dead code / inconsistent architecture (one feature server-gated, the other purely RLS-gated client-side)","Low for the rename itself; decision needed on whether to keep the proposal-share route or formalize the direct-client-query approach","Small","Low","Confirm each route responds correctly once renamed; confirm no naming collision in the same folder","YES","Ready","Phase 4"
ISS-021,Technical-Debt/Repository-Hygiene,Low,"Three empty literal brace-glob directories plus one empty stray directory clutter src/app/api","src/app/api/{campaigns,ai-summary,notifications,segments}; src/app/api/{proposals,analytics,calendar,followups}; src/app/api/whatsapp/{webhook,send,campaigns,templates}; src/app/api/webhook/","ROUTES.md; PROJECT_DISCOVERY.md","Repository structure","None","A past script ran mkdir with an unexpanded shell brace-glob, creating literal directories instead of the intended set of separate folders (evidenced by all_routes.txt at repo root)","None functionally (Next.js ignores non-matching directories)","Filesystem clutter, confusing to new developers browsing the API tree","Trivial","Small","None","Confirm directories are empty, then delete; confirm build unaffected","N/A","Ready","Phase 4"
ISS-022,Technical-Debt/Repository-Hygiene,Low,"Stray backup archive sitting inside a live API route folder","src/app/api/proposals/[id]/invoice/files.zip","ROUTES.md","Count verification","None","Accidental drop during past troubleshooting","None functionally (non-.ts files are ignored by the router)","Repo clutter, unclear provenance/contents without opening it","Trivial","Small","None","Confirm contents before deleting (per audit: contains whatsapp.ts, queue.ts, templates.ts, webhook-route.ts per earlier recon) in case it holds unmerged work","N/A","Ready","Phase 4"
ISS-023,Technical-Debt/Repository-Hygiene,Low,"Full duplicate project copy committed alongside the live app","BOOKMYSPACES_BACKUP/bookmyspaces/ (entire tree)","PROJECT_DISCOVERY.md","Repository structure","None","Manual backup taken at some point and committed instead of kept externally","None functionally (not deployed, not imported)","Repo bloat; risk of someone editing the wrong copy or it silently diverging further from the live app","Low - but requires explicit user sign-off since it's a full historical copy, not obviously safe to delete without checking if it holds anything not in the live app","Small","Low","Diff the backup against the live app before removal to confirm nothing unique is lost; confirm with the user before deleting","N/A once confirmed safe","Deferred","Phase 4 (requires user confirmation)"
ISS-024,Technical-Debt/Repository-Hygiene,Low,"Eight historical one-off fix/migration helper scripts left at the project root","bookmyspaces/clean-supabase-imports.js; dedup-route-exports.js; finish-migration.js; fix-all-missing-types.js; fix-deployment.js; fix-supabase-types.js; fix-vercel-route.js; migrate-supabase-admin.js","PROJECT_DISCOVERY.md","Repository structure","None","Ad hoc scripts written during past deployment troubleshooting, never removed","None functionally","Unclear whether any are still needed for anything (e.g. a documented recovery procedure); repo clutter otherwise","Low - but each should be individually reviewed for continued relevance before deletion","Small","Low","Confirm none are referenced by package.json scripts, CI, or documentation before removing","N/A once confirmed unused","Deferred","Phase 4"
ISS-025,Technical-Debt/Repository-Hygiene,Low,"Stray root-level artifact files of unverified purpose/content in this audit pass","bookmyspaces/git (0 bytes); bookmyspaces/npm (0 bytes); latest.json; logs.json; logs.txt; all_routes.txt; deployed_route.txt; deployment-trigger.txt","PROJECT_DISCOVERY.md","Repository structure","None (contents not re-verified in this audit round)","Build/deploy troubleshooting artifacts, per file naming","Unknown in this audit pass - note: an earlier, separate audit pass (not part of the 18 files in this folder) flagged that latest.json/logs.json may contain production log data; this must be re-confirmed before any action","Repo clutter at minimum; possible sensitive-data exposure at worst, pending re-verification","Unknown until contents are reviewed","Small (review) + unknown if remediation needed","Low","Open and review each file's actual contents; if any contain customer data or credentials, treat as a security incident (rotate credentials, purge from git history) rather than routine cleanup","N/A for review; YES (history rewrite) if sensitive data is confirmed","Blocked","Phase 1 (content review required before classification)"
ISS-026,Security/Configuration,Medium,"Two conflicting middleware.ts files exist (root and src/)","bookmyspaces/middleware.ts (root, dead); src/middleware.ts (active)","AUTH_AUDIT.md","Protected routes / middleware","ISS-001 (fix the active one first, then remove the dead duplicate)","Root-level file is a leftover from before the project adopted the src/ directory convention","None directly (Next.js ignores the root one) but actively misleading to any developer who edits the wrong file expecting it to take effect; root file also logs every API request via a stray console.log if ever mistakenly activated","Confusing dual source of truth for a security-critical file","Trivial once ISS-001 is fixed","Small","Low","Confirm src/middleware.ts is unambiguously the active file post-fix, then delete the root duplicate; confirm no build step depends on the root file","N/A","Ready","Phase 4 (after ISS-001)"
ISS-027,Authentication/Duplicate-Code,Medium,"Two independent OAuth/magic-link callback implementations diverge in behavior","src/app/api/auth/callback/route.ts; src/app/auth/callback/route.ts","AUTH_AUDIT.md","OAuth / magic-link callback - DUPLICATE IMPLEMENTATIONS","ISS-008 (one of the two failure paths is already broken)","Two callback routes were built at different times/for different link types and never consolidated; they use different redirect-param names (redirect vs next) and different failure targets","Confusing for any client generating auth links - which URL should be used depends on undocumented knowledge of which implementation is 'correct'","Duplicate cookie-handling logic (one reuses supabase-server.ts, the other reimplements inline) - a fix to session handling in one might not propagate to the other","Medium - need to determine which callers use which route before consolidating","Medium","Medium","Test both magic-link and OAuth flows against whichever route(s) are kept; confirm no caller breaks","YES","Ready","Phase 2"
ISS-028,Authentication/Frontend,Low,"OAuth failure redirect target does not exist (404)","src/app/auth/callback/route.ts (lines 11, 40, redirects to /auth/auth-code-error)","AUTH_AUDIT.md","Additional finding: broken redirect target","ISS-027","Page was presumably planned but never built","A user whose magic-link/OAuth exchange fails sees a raw 404 instead of a helpful error page","Missing error-state UX","Low - either build the page or redirect to /auth/login?error=... consistent with the other callback implementation","Small","Low","Trigger a failed code exchange (expired/invalid code) and confirm a sensible page renders","N/A","Ready","Phase 7"
ISS-029,Configuration/Documentation,Low,"ADMIN_EMAIL / ADMIN_PASSWORD are declared but completely unused","bookmyspaces/.env.example (lines 40-41); bookmyspaces/.env.local","AUTH_AUDIT.md; env_usage.csv","ADMIN_EMAIL / ADMIN_PASSWORD usage","None","Real auth (Supabase Auth) superseded whatever these were originally meant for, and the old declarations were never removed","A new developer setting up the project will fill these in believing they're load-bearing, when they do nothing","Misleading setup documentation","Trivial","Small","None","Confirm zero usage one more time immediately before removal","N/A","Ready","Phase 8 (documentation cleanup)"
ISS-030,Frontend/Code-Quality,Medium,"HotLeadDashboard.tsx is a 932-line God Component with 16 inline sub-components","src/app/(crm)/dashboard/HotLeadDashboard.tsx","COMPONENT_INVENTORY.md; component_metrics.csv","Components exceeding 400 LOC","None","Organic growth without extraction into src/components/","None functionally today","High change-risk file - any small dashboard tweak requires navigating a 932-line file; hard to unit test individual pieces since nothing is exported separately","Medium-High if refactored (932 lines, must preserve exact behavior); zero if left alone","Large (if refactored)","High (if refactored) / None (if left alone)","Visual regression test of the full dashboard before/after any extraction","YES if refactored - must be done incrementally with visual diffs at each step","Deferred","Phase 8 (optional, not blocking production)"
ISS-031,Testing,Critical,"No automated testing of any kind exists in the project","package.json (no test script); no jest/vitest/playwright/cypress dependency; zero *.test.* or *.spec.* files anywhere","DEPLOYMENT_AUDIT.md","Testing frameworks","None","Never set up","Every fix in this entire roadmap must be verified manually; no safety net against regressions during the very remediation work this roadmap describes","Cannot safely refactor anything (including every other issue in this register) without hand-testing every change","Low to add a framework; ongoing effort to write meaningful tests","Medium (initial setup) + ongoing per-feature","Low to add tooling itself","N/A for setup itself","N/A","Ready","Phase 9 (framework setup should happen early, ideally Phase 0/1, so later phases can use it)"
ISS-032,Frontend/Duplicate-Code,Medium,"Two Tailwind config files exist with divergent font-family definitions","tailwind.config.js; tailwind.config.ts","DEPLOYMENT_AUDIT.md","Tailwind configuration - VERIFIED DUPLICATE/DIVERGENT FILES","None","Migration from .js to .ts config was started but the old file was never removed","Whichever file Next.js actually resolves determines the live typography - the other is silently dead, and it's not verifiable from static inspection which one wins","Visual/branding inconsistency risk; unclear which file to edit going forward","Low - determine the active one via a visible test change, then delete the other","Small","Low-Medium (a visual change either way)","Change a font in one file, rebuild, visually confirm which file's change took effect, then remove the loser","YES","Ready","Phase 4"
ISS-033,Security/Configuration,Medium,"Server Actions CSRF origin check is disabled for all origins","next.config.js (experimental.serverActions.allowedOrigins: ['*'])","DEPLOYMENT_AUDIT.md","next.config.js","None","Comment states 'Vercel handles security' - an incorrect assumption; this is an application-level relaxation, not a platform guarantee","Any origin can invoke Server Actions on behalf of a logged-in user's browser session (CSRF exposure), compounding ISS-001/002","Removes a built-in Next.js protection for no documented reason","Low - restrict to actual production/preview origins","Small","Low-Medium (must enumerate every legitimate origin including Vercel preview URLs)","Confirm Server Actions still work from the real app domain and Vercel preview deployments after restricting origins","YES","Ready","Phase 2"
ISS-034,Security/Configuration,Medium,"No security headers (CSP, X-Frame-Options, etc.) configured anywhere","next.config.js (headers() only sets Cache-Control on /api/*)","DEPLOYMENT_AUDIT.md","next.config.js","None","Never added","Increased exposure to clickjacking, XSS impact severity, and other browser-side attacks that security headers mitigate","Missing standard production hardening","Low-Medium - CSP in particular requires careful tuning to avoid breaking inline scripts/styles/third-party embeds (fonts, chat widget)","Medium","Medium (CSP is easy to get wrong and silently break functionality)","Full manual click-through of every page after headers are added, checking browser console for CSP violations","YES","Ready","Phase 8"
ISS-035,Code-Quality/Type-Safety,Medium,"77 explicit escapes from TypeScript's strict mode across the codebase","53x `: any` + 22x `as any` + 2x `<any>`, spread across src/ (see CODE_METRICS.md for full grep); spot-verified: src/lib/sheets.ts:360, src/app/api/proposals/email/route.ts:19","CODE_METRICS.md","any-type erosion vs strict: true","None","Convenience during rapid development; tsconfig strict:true was set but not enforced via lint rule (no @typescript-eslint no-explicit-any)","None directly, but each occurrence is a place where TypeScript cannot catch a type error at compile time","Erodes the safety net that strict:true is supposed to provide","Low per-occurrence, but 77 occurrences is a meaningful body of work to type correctly","Large (cumulative)","Low per-fix, cumulative regression risk if rushed","Type-check (tsc --noEmit) after each batch of fixes; no runtime behavior should change if done correctly","YES - each file independently revertible","Deferred","Phase 8 (incremental, ongoing)"
ISS-036,Configuration/Deployment,High,"No centralized environment variable configuration or startup validation","18 distinct env vars read directly via process.env.* across 21 files (only SUPABASE_SERVICE_ROLE_KEY is centralized, via src/lib/supabase.ts)","CODE_METRICS.md; env_usage.csv","process.env usage, grouped by variable","None","Never built; each file reads what it needs directly","App fails at first request to whichever route needs a missing var, rather than failing fast at startup with a clear message - directly blocks the 'install and immediately start using it' goal from the original project brief","No single source of truth for what configuration the app requires","Medium - building a central config module and migrating 21 files to use it is real work, but mechanical and low-risk if done file-by-file","Medium","Low per-file if done incrementally","Confirm app still boots and each feature still works after each file is migrated to the central config","YES - per-file, incremental","Ready","Phase 8"
ISS-037,Documentation/Deployment,High,"Environment variable names in .env.example do not match what the code actually reads","NEXT_PUBLIC_SITE_URL (code) vs NEXT_PUBLIC_APP_URL (.env.example); WATI_VERIFY_TOKEN (.env.example) vs WHATSAPP_WEBHOOK_VERIFY_TOKEN (code); WHATSAPP_ACCESS_TOKEN / WHATSAPP_PHONE_NUMBER_ID (code, live Meta integration) undocumented in .env.example; CRON_SECRET (code, required by cron/followups) undocumented","CODE_METRICS.md; env_usage.csv","process.env usage, grouped by variable","ISS-036 (fix alongside centralization)",".env.example was written for an earlier/different WhatsApp integration (WATI) and never updated when the app moved to Meta Cloud API directly","A new deployer following .env.example will have a broken WhatsApp integration and a broken cron job, with no error message pointing at why - directly blocks 'install and immediately start using it'","Documentation drift from actual code requirements","Trivial - update .env.example to match reality","Small","None","Fresh clone + .env.example fill-in should be enough to run the app; verify by attempting exactly that","N/A","Ready","Phase 8"
ISS-038,Configuration/Documentation,Low,"Five declared environment variables are completely unused in code","ADMIN_EMAIL; ADMIN_PASSWORD; WATI_VERIFY_TOKEN; WATI_WEBHOOK_SECRET; NEXT_PUBLIC_BUSINESS_PHONE (all in .env.example, zero process.env call sites in src/)","CODE_METRICS.md; env_usage.csv","process.env usage, grouped by variable","ISS-029 (ADMIN_EMAIL/PASSWORD specifically)","Legacy from earlier integration attempts (WATI) or superseded auth approach","New deployer wastes time configuring values that do nothing","Documentation clutter","Trivial","Small","None","Confirm zero usage, remove or clearly mark as unused/reserved","N/A","Ready","Phase 8"
ISS-039,Code-Quality/Logging,Low,"89 console.* calls left in production code paths repo-wide","89 total across src/ (27 within API routes alone); heaviest: src/lib/whatsapp.ts (38 calls)","CODE_METRICS.md; ROUTES.md","Repo-wide counts","None","No structured logger adopted consistently (src/lib/logger.ts exists but is not used everywhere)","Verbose/inconsistent production logs; ISS-041 (invoice debug block) is the most serious individual instance","No log-level control, no structured/queryable logging","Low - mechanical replacement with the existing logger.ts, or removal where purely for debugging","Large (89 call sites) but each trivial","Low","Spot-check that removed/replaced logs weren't load-bearing for any error handling that depended on side effects (rare but must check)","YES - per-file","Deferred","Phase 8"
ISS-040,Security/Code-Quality,Medium,"Debug logging block dumps payment/invoice data directly to production logs","src/app/api/proposals/[id]/invoice/route.ts (lines 448-452)","ROUTES.md","console.log / console.error / console.warn","ISS-039 (part of the broader logging cleanup, but higher priority on its own)","Debug statements left in from development, never removed before shipping this route","Payment amounts, receipt numbers, and proposal IDs are written to plaintext production logs on every invoice view","Sensitive financial data in logs is a compliance/security concern independent of the broader logging cleanup","Trivial - delete 5 lines","Small","None","Trigger invoice generation, confirm no payment data appears in server logs afterward","YES","Ready","Phase 1 (fast, high-value, do immediately)"
ISS-041,Business-Logic/Integrations-Email,High,"Proposal 'email' feature does not send email - it returns a mailto: link","src/app/api/proposals/email/route.ts (line 34, 38)","PROJECT_DISCOVERY.md","Email integration","None","No SMTP/transactional email provider was ever integrated; a mailto: fallback was built instead and the route's own response says so explicitly","Any workflow assuming proposals are emailed to clients automatically is not actually happening server-side - it silently depends on a human opening the returned mailto_url in their own email client","Feature gap relative to what the CRM name/scope implies (project brief explicitly lists 'Email communication' as a required capability)","Medium - requires selecting and integrating a real provider (SendGrid/Resend/SES), which is a new integration, not a bug fix","Medium","Low (new code path, doesn't touch existing behavior if additive)","Send a real test proposal email end-to-end, confirm delivery, confirm the existing mailto fallback still works if kept as a backup","N/A - additive feature","Ready","Phase 6"
